record_id,Id,CreatedAt,UpdatedAt,user_id,title,start_time,end_time,category_id,status,type,parent_id,tags,checklist,note
6FjHPtYc57oUXwi1ye9r,86,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,утро,2026-03-08 06:13:00+00,2026-03-08 07:16:00+00,,completed,record,,,,
6Q9hHJweOfCEl6YTVi14,87,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,gymnastics,2026-02-25 18:05:00+00,2026-02-25 18:33:00+00,,completed,record,,,,
6rAv7QbaXjKMrbQ8W8EN,88,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,Astra design,2026-03-11 15:58:44.196+00,2026-03-11 17:35:02.982+00,,completed,record,,,,
6sqvWdpgyw9Vi55OMyFI,89,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,Astra design,2026-03-05 14:12:00+00,2026-03-04 22:00:00+00,,completed,record,,,,
6Te3ky3M1dixsRdNy2SF,90,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,обед,2026-03-02 12:29:00+00,2026-03-02 13:30:00+00,,completed,record,,,,
6uTRberYWmMxyPBuDPHR,91,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,Carroll woods prices,2026-03-13 15:52:43.1+00,2026-03-13 16:08:19.501+00,,stopped,record,,,,
6V41jPuSHhuouIydYkO4,92,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,Price Reporter Email CHeck,2026-03-12 20:48:16.044+00,2026-03-12 20:49:52.014+00,,stopped,record,,,,
71960da7-23a0-4b82-ad8f-e84628335ee4,93,2026-03-18 17:52:55+00:00,2026-03-21 01:09:42+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,обед/ужин,2026-03-14 16:19:49.679598+00,2026-03-21T01:09:34.215Z,,stopped,record,,,,
73426ad1-b3ca-40fc-9685-fdbace0372d0,94,2026-03-18 17:52:55+00:00,2026-03-21 01:09:42+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,price reporter planning,2026-03-16 13:00:00+00,2026-03-21T01:09:34.215Z,planning,stopped,record,,,,
763ff707-223c-4439-84c3-e62770824acd,95,2026-03-18 17:52:55+00:00,2026-03-21 01:09:43+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,вайбкодинг,2026-03-16 21:18:04.48343+00,2026-03-21T01:09:34.215Z,vibecoding,stopped,record,,,,
7SbjyDulepzz24gCPFyi,96,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,Astra planning,2026-02-25 19:51:57.838+00,2026-02-25 19:53:10.485+00,,completed,record,,,,
80eRkQAJSeBG9ungIe8l,97,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,проект в курсоре,2026-03-09 19:29:10.803+00,2026-03-09 19:29:19.437+00,,completed,record,,,,
877bacef-f0fe-4de1-a647-fed479f1e39f,98,2026-03-18 17:52:55+00:00,2026-03-21 01:09:43+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,завтрак,2026-03-15 08:24:37.761193+00,2026-03-21T01:09:34.215Z,,stopped,record,,,,
8e0769d6-d417-4acd-ae1e-cf6256d80309,99,2026-03-18 17:52:55+00:00,2026-03-21 01:09:43+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,зарядка,2026-03-16 07:07:00+00,2026-03-21T01:09:34.215Z,c6dd71c8-2644-4b0a-899b-70d42001fd61,stopped,record,,,,
8e3cb47c-4cc9-4280-9cce-c50374c7f990,100,2026-03-18 17:52:55+00:00,2026-03-21 01:09:44+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,завтрак,2026-03-16 08:18:30.799497+00,2026-03-21T01:09:34.215Z,food,stopped,record,,,,
8klqDUxbFq9GtG1Ed7lv,101,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,подготовка к выходу,2026-03-03 06:37:00+00,2026-03-03 07:35:00+00,,completed,record,,,,
8pTq7X9BZek2QEupZDFY,102,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,Ouraring add,2026-02-26 03:16:00+00,2026-02-26 04:05:00+00,,completed,record,,,,
8tOIfxLAAuNdDHKOMkFs,103,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,TurnKey corporate housing FCP,2026-02-27 17:49:00+00,2026-02-27 18:48:00+00,,completed,record,,,,
8uMCZZ8AeeJIryVfFbaI,104,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,туалет,2026-03-11 18:19:45.120729+00,2026-03-11 18:47:07.508+00,,completed,record,,,,
950ab6e7-0eb8-4778-8742-75c045cac7a7,105,2026-03-18 17:52:55+00:00,2026-03-21 01:09:44+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,умывание,2026-03-14 08:32:41.607501+00,2026-03-21T01:09:34.215Z,,stopped,record,,,,
95PK6EUHongshs3xFgPz,106,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,Laredo technical services,2026-03-12 17:59:12.923764+00,2026-03-12 18:01:46.894229+00,,completed,record,,,,
98214cc1-e759-4fdf-9805-a59f8040cd6d,107,2026-03-18 17:52:55+00:00,2026-03-21 01:09:44+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,сон,2026-03-14 22:00:21.612875+00,2026-03-21T01:09:34.215Z,,stopped,record,,,,
